"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"577f27a7-7c21-4a84-9820-c362774ddf50","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἰβηρίας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::42;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::49","PLACE","","","","","","","NOT_IDENTIFIABLE","","390000RIbe","",""
"dc3cf46c-e6bf-4f43-9235-7eae32db0d52","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἴβηρ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::69;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::73","PLACE","http://pleiades.stoa.org/places/246418","(H)Iberus (river)|Hiberus/Iberus, Ebro","-0330/0640","40.72","0.863056","river","VERIFIED","ποταμός","","",""
"1ebc2305-d282-4b65-8343-53ccaea0229d","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Γάδειρα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::114;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::121","PLACE","http://pleiades.stoa.org/places/256177","Gadeira/Gades/Col. Augusta Gaditana|Gades/Gadeira/Col. Augusta Gaditana, Cádiz","-0750/2100","36.528381","-6.294444","arch,theatre,townhouse,settlement","VERIFIED","νῆσος","","",""
"7172edab-012f-4e4c-bf34-dd657a37f505","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἡρακλείων                         στηλῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::176;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::216","PLACE","http://pleiades.stoa.org/places/275614","Columnae Herculis","-0750/0300","35.9358335","-5.384583","cape","VERIFIED","","","",""
"44c870cf-f581-4f2e-8bf1-8223dc1c0dee","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἑλληνὶς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::244;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::251","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","place|ethnic","","",""
"7de69bc4-36cf-4dad-b055-49fcacd2218e","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἐμπόριον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::260;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::268","PLACE","http://pleiades.stoa.org/places/246382","Palaiapolis, Palaiapolis, San Martín de Ampurias|Neapolis, Neapolis, Empúries|Emporiae|Emporiae/Emporion, Empúries","-0750/0640","42.14011","3.11795","amphitheatre,settlement,port","VERIFIED","ἐμπόριον|πόλις|ἑλληνίς","","",""
"69a192f6-f5d6-4a87-a676-bce27a29009c","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Μασσαλιωτῶν ἄποικοι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::284;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::303","PLACE","http://pleiades.stoa.org/places/148127","Massalia/Massilia|Massalia/Massilia, Marseille|Marseille","-0750/2100","43.299467","5.365307","settlement","VERIFIED","group|ethnic|ἄποικος","","",""
"e91eff05-e6fd-4348-b169-04f2eb8249a8","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἰβηρίας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::319;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::326","PLACE","","","","","","","NOT_IDENTIFIABLE","","390000RIbe","",""
"d1d4029b-8e71-455e-894a-eae7f21179ac","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἰβήρων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[3]::28;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[3]::34","PLACE","","","","","","","NOT_IDENTIFIABLE","group|ethnic","390000RIbe","",""
"3b1bfe4f-ab2e-477a-9a82-4d8716b45a2c","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Λίγυες","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[3]::43;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[3]::49","PLACE","http://pleiades.stoa.org/places/383698","Liguria","-0750/0640","44.22656549434755","9.235707726672372","region","VERIFIED","group|ethnic|μιγάδες","","",""
